랭킹,채널명,카테고리,구독자수(단위:만),조회수(단위:만)
1,BLACKPINK,음악,5320,1354224
2,Big Hit Labels,엔터테인먼트,4690,1273943
3,BANGTANTV,음악,4030,578864
4,Boram Tube Vlog [보람튜브 브이로그],키즈,2710,1149693
5,SMTOWN,엔터테인먼트,2490,1847283
6,1MILLION Dance Studio,댄스,2260,588072
7,1theK (원더케이),엔터테인먼트,2120,1812549
8,JYP Entertainment,엔터테인먼트,1900,1096339
9,JFlaMusic,음악,1650,311905
10,Mnet K-POP,엔터테인먼트,1590,105228
11,KBS World,엔터테인먼트,1460,1044880
12,officialpsy,음악,1440,802951
13,Boram Tube ToysReview [보람튜브 토이…,키즈,1380,459119
14,League of Legends,Brand,1330,476486
15,BIGBANG,음악,1300,615729
16,Jane ASMR 제인,ASMR,1050,322960
17,Google,기업,952,258584
18,DuDuPopTOY,키즈,940,404772
19,TwinRoozi 쌍둥이 루지,키즈,935,505179
20,Stone Music Entertainment,엔터테인먼트,916,674575
21,TWICE,음악,912,108180
22,With Kids[위드키즈],키즈,881,411578
23,MBCkpop,엔터테인먼트,878,646182
24,핑크퐁 (인기 동요・동화),키즈,875,502276
25,Larva TUBA,애니,847,362167
26,Toymong tv 토이몽TV,키즈,797,324543
27,서은이야기[SeoeunStory],키즈,792,348452
28,MBCentertainment,엔터테인먼트,781,1198435
29,Mnet Official,엔터테인먼트,777,756729
30,iKON,음악,745,177291
31,MariAndKids,키즈,689,213342
32,Boram Tube [宝蓝和朋友们],키즈,685,153325
33,SonicToy소닉토이,키즈,679,279708
34,Sungha Jung,음악,651,18941
35,EXO,음악,651,12043
36,M2,엔터테인먼트,647,431653
37,Hongyu ASMR 홍유,ASMR,646,159161
38,JTBC Entertainment,엔터테인먼트,618,79310
39,ALL THE K-POP,엔터테인먼트,599,342608
40,SEVENTEEN,음악,583,154929
41,YG ENTERTAINMENT,엔터테인먼트,580,154746
42,PONY Syndrome,뷰티,576,33183
43,PinkyPopTOY,키즈,565,81386
44,GOT7,음악,546,59589
45,KBS Kpop,엔터테인먼트,538,355904
46,TOMORROW X TOGETHER OFFICIAL,음악,538,21252
47,콩순이・시크릿 쥬쥬 [Kongsuni・Secret Jo…,키즈,512,414296
48,Maangchi,Korean,512,54668
49,2NE1,음악,505,181852
50,Samsung,기업,504,72711
51,ToyMart TV,키즈,502,19257
52,MAMAMOO,음악,495,101075
53,스브스케이팝 / SBS KPOP,엔터테인먼트,495,289786
54,[Awesome Haeun]어썸하은,댄스,493,72386
55,SBS Entertainment,엔터테인먼트,482,502957
56,문복희 Eat with Boki,먹방,471,93002
57,Stray Kids,음악,472,47130
58,[햄지]Hamzy,먹방,470,123135
59,SBS Drama,드라마,466,459480
60,쏘영 Ssoyoung,먹방,462,62620
61,tvN DRAMA,드라마,457,434994
62,이지금 [IU Official],음악,458,2521
63,백종원의 요리비책 Paik's Cuisine,푸드,457,35570
64,starshipTV,엔터테인먼트,453,246739
65,베이비버스 -인기 동요・동화,키즈,452,277953
66,스위트티비 SweetTV,키즈,437,19429
67,떵개떵,먹방,421,224889
68,[장난감티비]TOYTV,키즈,420,19942
69,Robocar POLI TV,키즈,418,348912
70,미니특공대TV,키즈,418,223206
71,Coreano Vlogs,외국인,415,44943
72,[Dorothy]도로시,먹방,405,92714
73,뽀로로(Pororo),키즈,405,533271
74,KBS Entertain,엔터테인먼트,405,569000
75,MBCdrama,드라마,401,447219
76,TOY GUMA,키즈,399,131025
77,Evan Kids,키즈,398,7396
78,Raon Lee,음악,397,77575
79,ITZY,음악,396,45504
80,영국남자 Korean Englishman,외국인,394,12264
81,BT21,Brand,391,25905
82,하루한끼 one meal a day,푸드,391,33778
83,Jaeguchi,모음,387,277640
84,크림히어로즈,펫,381,124947
85,워크맨-Workman,프로그램,379,5888
86,SBS NOW / SBS 공식 채널,엔터테인먼트,378,373119
87,허팝Heopop,기획,374,282863
88,waveya 2011,댄스,372,13861
89,JTBC Drama,드라마,366,355039
90,Cooking tree 쿠킹트리,푸드,366,3400
91,SBS TV동물농장x애니멀봐,프로그램,357,308432
92,슈슈토이 Shushu ToysReview,키즈,356,123668
93,까니짱 [ G-NI ],먹방,355,78940
94,Milana FamilyShow,외국인,350,107847
95,Red Velvet,음악,350,2784
96,WINNER,음악,346,103018
97,Lime Tube[라임튜브],키즈,345,235311
98,로미유 스토리[Romiyu Story],키즈,343,85587
99,채널 NCT DAILY,음악,332,47405
100,Backhoe TV,키즈,326,134736
